algorithm,coverage,time,coverage per budget
dynamic,28,466,16.0714
brute_force,28,874,15.4643
greedy,27,0,16.2963
dynamic,28,492,16.0714
brute_force,28,879,15.4643
greedy,27,0,16.2963
dynamic,30,386,14.4667
brute_force,30,4505,14.4667
greedy,27,1,16.4815
dynamic,27,135,16.5926
brute_force,27,1585,14.5185
greedy,26,1,16.5385
dynamic,29,565,15.1724
brute_force,29,1303,15.1724
greedy,28,0,15.0357
dynamic,27,568,16.5926
brute_force,27,497,16.0741
greedy,26,0,17
dynamic,25,116,18
brute_force,25,5524,17.84
greedy,23,0,18.5217
dynamic,29,390,15.5172
brute_force,29,4829,14.8276
greedy,28,1,15.3929
dynamic,28,451,15.9286
brute_force,28,1144,14.1071
greedy,26,1,15.5385
dynamic,29,355,15.3103
brute_force,29,1989,15.2414
greedy,27,1,16.3704
dynamic,30,216,14.5667
brute_force,30,1271,14.0667
greedy,28,1,15.5714
dynamic,26,1079,17.2692
brute_force,26,833,15
greedy,25,0,16.56
dynamic,27,580,16.5926
brute_force,27,1882,15.2593
greedy,26,1,16.1923
dynamic,22,166,20.4091
brute_force,22,780,19.1364
greedy,21,0,21.381
dynamic,28,290,15
brute_force,28,2937,13.6786
greedy,27,1,16.5556
dynamic,28,291,15.75
brute_force,28,1029,14.0714
greedy,27,0,15.2593
dynamic,27,203,16.4444
brute_force,27,1923,15.5556
greedy,26,0,16.4231
dynamic,27,236,16.3704
brute_force,27,1081,14.8519
greedy,25,1,17.24
dynamic,27,534,15.8889
brute_force,27,4640,14.8889
greedy,25,0,16.68
dynamic,27,619,16.6296
brute_force,27,1779,14.3704
greedy,25,1,16.88
dynamic,25,151,17.96
brute_force,25,515,17.96
greedy,23,0,18.7826
dynamic,26,173,17.1538
brute_force,26,1138,16.6154
greedy,25,1,17.68
dynamic,26,280,16.9615
brute_force,26,1073,16.3077
greedy,26,1,17.2692
dynamic,28,428,15.3571
brute_force,28,711,14.5357
greedy,27,0,15.8519
dynamic,27,185,16.6667
brute_force,27,913,15.8148
greedy,26,1,16.4231
dynamic,26,239,17.1923
brute_force,26,698,17
greedy,23,0,19.4783
dynamic,27,143,16.5926
brute_force,27,2515,14.963
greedy,25,1,17.52
dynamic,26,165,17
brute_force,26,1657,15.6154
greedy,24,1,16.6667
dynamic,30,357,14.1333
brute_force,30,2523,9.53333
greedy,30,1,13.9
dynamic,29,365,14.6552
brute_force,29,580,13.2069
greedy,28,1,15.4286
dynamic,29,334,15.3448
brute_force,29,1876,14.6207
greedy,27,0,15.2593
dynamic,26,260,17.1538
brute_force,26,466,17
greedy,24,0,17.75
dynamic,25,219,18
brute_force,25,1297,16.52
greedy,25,0,17.56
dynamic,27,287,16.4444
brute_force,27,1657,14.2963
greedy,26,1,15.5385
dynamic,28,392,16.0357
brute_force,28,2945,14.8214
greedy,27,0,15.7407
dynamic,28,359,15.9643
brute_force,28,3018,15.1071
greedy,26,1,16.5385
dynamic,28,225,15.75
brute_force,28,805,15.75
greedy,26,0,17.0385
dynamic,28,287,15.6786
brute_force,28,1614,14.75
greedy,27,0,16.1481
dynamic,29,266,14.9655
brute_force,29,1286,14.2069
greedy,28,0,15.7143
dynamic,29,780,15.2069
brute_force,29,2142,13.6552
greedy,27,1,15.6667
dynamic,28,696,15.8571
brute_force,28,1711,14.6786
greedy,27,1,14.6667
dynamic,28,545,15.9286
brute_force,28,858,14.5
greedy,27,1,16.2593
dynamic,27,168,16.3704
brute_force,27,2906,14.963
greedy,25,1,17.28
dynamic,26,380,17.1538
brute_force,26,1722,15.3077
greedy,24,1,16.7083
dynamic,27,199,16.3704
brute_force,27,818,15.1481
greedy,26,0,17.2308
dynamic,30,328,14.3667
brute_force,30,10102,12.8
greedy,29,1,15.069
dynamic,28,572,15.7857
brute_force,28,1828,15.5714
greedy,27,1,16.5185
dynamic,30,368,13.9333
brute_force,30,6527,11.4
greedy,29,1,15.0345
dynamic,24,348,18.3333
brute_force,24,816,17.0833
greedy,23,0,19.087
dynamic,29,264,15.069
brute_force,29,1633,15.069
greedy,27,1,15.6667
dynamic,27,149,16.037
brute_force,27,874,14.8519
greedy,24,0,17.75
dynamic,28,318,16
brute_force,28,1315,15.9286
greedy,27,1,15.5185
dynamic,26,420,16.8462
brute_force,26,873,16.5769
greedy,25,0,16.64
dynamic,24,129,18.75
brute_force,24,480,18.375
greedy,23,0,19.3478
dynamic,29,357,15.0345
brute_force,29,4203,13.1724
greedy,27,1,15.3333
dynamic,28,154,15.6786
brute_force,28,2025,15.6786
greedy,26,1,16.7692
dynamic,29,297,15.5172
brute_force,29,1099,15.1379
greedy,28,0,14.9643
dynamic,29,236,15.3448
brute_force,29,5161,15.3448
greedy,27,1,15.3333
dynamic,29,345,15.1034
brute_force,29,633,13.7586
greedy,27,1,15.7778
dynamic,26,84,17.1538
brute_force,26,2103,16.6154
greedy,24,0,17.9583
dynamic,27,357,16.2593
brute_force,27,1031,14.6667
greedy,27,1,16.6296
dynamic,29,670,15.4138
brute_force,29,4177,13.4483
greedy,28,1,15.8929
dynamic,28,299,15.25
brute_force,28,973,15.25
greedy,26,1,16.7308
dynamic,27,307,16.5185
brute_force,27,2569,16.1111
greedy,26,1,16.6923
dynamic,28,173,15.6429
brute_force,28,1516,15.2857
greedy,27,1,15.8889
