algorithm,budget,coverage,cost_per_coverage_unit,time
dynamic,40,28,1.32143,7
greedy,40,28,1.32143,0
random,40,18,2.22222,0
bad_greedy,40,21,1.85714,0
k=1,40,28,1.32143,5
k=2,40,28,1.32143,147
dynamic,40,35,1.11429,19
greedy,40,34,1.05882,0
random,40,10,4,0
bad_greedy,40,22,1.59091,0
k=1,40,35,1.11429,5
k=2,40,35,1.11429,143
dynamic,40,29,1.34483,6
greedy,40,29,1.31034,0
random,40,9,4.44444,0
bad_greedy,40,18,2,0
k=1,40,29,1.31034,5
k=2,40,29,1.31034,145
dynamic,40,31,1.29032,11
greedy,40,29,1.27586,1
random,40,17,2.29412,0
bad_greedy,40,20,2,0
k=1,40,29,1.17241,5
k=2,40,31,1.29032,145
dynamic,40,30,1.26667,7
greedy,40,31,1.29032,1
random,40,19,2.05263,0
bad_greedy,40,21,1.71429,0
k=1,40,31,1.29032,5
k=2,40,31,1.29032,135
dynamic,40,22,1.81818,6
greedy,40,21,1.57143,0
random,40,14,2.78571,0
bad_greedy,40,19,2.10526,0
k=1,40,21,1.57143,5
k=2,40,21,1.57143,149
dynamic,40,32,1.15625,5
greedy,40,32,1.1875,0
random,40,23,1.73913,0
bad_greedy,40,15,2.53333,0
k=1,40,32,1.15625,4
k=2,40,32,1.15625,132
dynamic,40,35,1.14286,18
greedy,40,35,1.14286,0
random,40,8,5,0
bad_greedy,40,28,1.32143,0
k=1,40,35,1.11429,4
k=2,40,35,1.11429,139
dynamic,40,30,1.3,4
greedy,40,29,1.27586,0
random,40,10,4,0
bad_greedy,40,21,1.61905,0
k=1,40,29,1.27586,5
k=2,40,29,1.27586,147
dynamic,40,30,1.33333,5
greedy,40,30,1.3,1
random,40,22,1.72727,0
bad_greedy,40,18,2.11111,0
k=1,40,30,1.3,5
k=2,40,30,1.3,143
dynamic,80,33,2.39394,30
greedy,80,32,2.15625,0
random,80,15,5.26667,0
bad_greedy,80,25,2.8,0
k=1,80,32,2.15625,5
k=2,80,32,2.15625,140
dynamic,80,41,1.87805,29
greedy,80,39,1.82051,0
random,80,17,4.58824,0
bad_greedy,80,21,3.80952,0
k=1,80,39,1.82051,5
k=2,80,39,1.82051,137
dynamic,80,36,2.19444,14
greedy,80,35,2.02857,0
random,80,21,3.80952,0
bad_greedy,80,26,2.73077,0
k=1,80,35,2.02857,4
k=2,80,35,2.02857,126
dynamic,80,39,2.02564,16
greedy,80,39,2.05128,0
random,80,31,2.54839,0
bad_greedy,80,27,2.96296,0
k=1,80,39,2.02564,4
k=2,80,39,2.02564,130
dynamic,80,39,2.02564,13
greedy,80,38,2.05263,0
random,80,16,5,0
bad_greedy,80,24,3.125,0
k=1,80,38,2.05263,5
k=2,80,38,2.05263,147
dynamic,80,34,2.35294,16
greedy,80,33,2.33333,0
random,80,14,5.71429,0
bad_greedy,80,25,3.2,0
k=1,80,33,2.33333,4
k=2,80,33,2.33333,133
dynamic,80,34,2.35294,22
greedy,80,33,2.39394,0
random,80,21,3.7619,0
bad_greedy,80,22,3.18182,0
k=1,80,33,2.39394,5
k=2,80,33,2.39394,145
dynamic,80,36,2.22222,18
greedy,80,34,2.26471,0
random,80,24,3.29167,0
bad_greedy,80,19,3.73684,0
k=1,80,34,2.26471,4
k=2,80,34,2.26471,132
dynamic,80,35,2.22857,19
greedy,80,35,2.17143,0
random,80,12,6.66667,0
bad_greedy,80,22,3.5,0
k=1,80,35,2.17143,4
k=2,80,35,2.17143,139
dynamic,80,33,2.27273,26
greedy,80,33,2.24242,0
random,80,15,5.33333,0
bad_greedy,80,25,2.88,0
k=1,80,33,2.21212,4
k=2,80,33,2.21212,136
dynamic,120,45,2.66667,167
greedy,120,44,2.70455,0
random,120,24,5,0
