budget,k=2 coverage,k=2 cost_per_coverage_unit,k=2 time,k=1 coverage,k=1 cost_per_coverage_unit,k=1 time,greedy coverage,greedy cost_per_coverage_unit,greedy time,random coverage,random cost_per_coverage_unit,random time,bad_greedy coverage,bad_greedy cost_per_coverage_unit,bad_greedy time,dynamic coverage,dynamic cost_per_coverage_unit,dynamic time
40,28.08333333,1.357546297,148.9366667,28.05666667,1.35747263,5.276666667,27.86333333,1.356076887,0.296666667,14.08333333,3.168884467,0,19.54333333,1.9762413,0,28.39333333,1.40152096,264.8766667
80,36.28666667,2.0983912,139.46,36.26333333,2.099277167,4.503333333,36.06333333,2.099792333,0.26,18.42666667,4.8548953,0,25.03,3.1285576,0,36.70333333,2.1716533,340.58
120,41.68,2.7497494,128.71,41.67333333,2.751875733,4.336666667,41.55,2.7574953,0.276666667,21.96666667,5.898670233,0,30.17666667,3.832109667,0,42.23,2.8326673,348.3466667
160,45.45333333,3.379058133,131.5333333,45.43666667,3.380007267,4.34,45.35666667,3.395399567,0.356666667,24.62,7.0862541,0,33.80333333,4.5885557,0.04,45.92666667,3.477790033,594.72
200,48.54333333,3.954373833,115.4166667,48.53666667,3.9541897,3.873333333,48.43666667,3.9548342,0.293333333,28.35333333,7.4124951,0,36.43666667,5.311890767,0.016666667,49.11,4.064649667,754.88
240,51.4,4.4789681,109.1433333,51.39,4.4764281,3.646666667,51.33,4.485957433,0.366666667,31.22333333,7.979830867,0,38.97666667,5.9814933,0,51.97666667,4.6086716,1073.076667
280,53.05333333,5.0464574,117.7933333,53.04666667,5.0452771,3.846666667,53.00666667,5.0543088,0.25,33.89,8.506968233,0,40.05666667,6.798148733,0.07,53.63333333,5.2093239,2070.223333
320,54.64,5.589325067,107.9466667,54.63666667,5.590718033,3.433333333,54.59,5.593107867,0.366666667,35.65,9.202623833,0,41.77666667,7.479952767,0,55.22666667,5.776546533,2751.953333
360,55.91666667,6.109403133,100.03,55.90666667,6.107778233,3.31,55.85,6.106481833,0.28,37.72333333,9.7916615,0,43.01333333,8.155304033,0.033333333,56.44333333,6.358054933,2657.466667
400,56.82333333,6.632158033,109.3,56.82333333,6.6334908,3.873333333,56.79,6.631371067,0.416666667,39.98,10.195336,0,43.94,8.861586967,0.05,57.34,6.9423846,4864.61
440,57.78214286,7.091936143,94.825,57.77857143,7.0911745,3.285714286,57.75,7.099306786,0.285714286,41.00357143,10.88865757,0,44.9,9.56228925,0,58.2,7.512912821,4064.435714
480,58.49666667,7.5276272,103.3366667,58.49666667,7.529829167,3.536666667,58.47666667,7.5303123,0.486666667,43.28333333,11.26279513,0,46.08333333,10.1589612,0.033333333,58.84666667,8.0552606,5728.93
520,58.96666667,7.9497517,92.08666667,58.96666667,7.9513877,3.046666667,58.94666667,7.955646133,0.266666667,44.34,11.8504596,0,46.54666667,10.89906897,0,59.22,8.670958933,4442.97
560,59.25172414,8.371246414,108.8931034,59.25172414,8.373056276,3.713793103,59.23793103,8.377072034,0.517241379,45.95172414,12.28578034,0,47.12413793,11.59292476,0.075862069,59.47241379,9.218822655,6095.386207
600,59.57666667,8.592103367,101.53,59.57666667,8.593771033,3.516666667,59.56666667,8.597801967,0.436666667,46.94666667,12.89475367,0,47.78333333,12.24473483,0.033333333,59.7,9.648770033,8394.4
