algorithm,budget,coverage,cost_per_coverage,time
dynamic,480,58,8.27586,4198
greedy,480,57,8.2807,14
random,480,43,11.1628,0
bad_greedy,480,45,10.2222,0
k=1,480,57,8.17544,777
k=2,480,57,8.17544,22038
dynamic,480,60,7.6,7626
greedy,480,60,7.83333,12
random,480,41,11.7073,0
bad_greedy,480,52,8.65385,0
k=1,480,60,7.76667,693
k=2,480,60,7.76667,21248
dynamic,480,59,8.0678,1210
greedy,480,58,8.22414,13
random,480,40,11.975,0
bad_greedy,480,45,10.2,0
k=1,480,58,8.17241,727
k=2,480,58,8.15517,24814
dynamic,480,58,8.18966,20222
greedy,480,58,7.55172,12
random,480,36,13.2778,0
bad_greedy,480,53,8.77358,0
k=1,480,58,7.55172,784
k=2,480,58,7.55172,22995
dynamic,480,58,8.17241,9799
greedy,480,57,7.70175,13
random,480,46,10.3913,0
bad_greedy,480,47,10.0851,0
k=1,480,57,7.70175,707
k=2,480,57,7.70175,22193
dynamic,360,55,6.50909,901
greedy,360,54,6.59259,10
random,360,33,10.9091,0
bad_greedy,360,40,8.8,0
k=1,360,54,6.55556,558
k=2,360,54,6.55556,16862
dynamic,360,59,6.10169,3901
greedy,360,59,5.61017,10
random,360,43,8.37209,0
bad_greedy,360,53,6.64151,0
k=1,360,59,5.54237,585
k=2,360,59,5.52542,18043
dynamic,360,57,6.29825,862
greedy,360,56,6.08929,12
random,360,35,10.2857,0
bad_greedy,360,45,7.8,0
k=1,360,56,6.08929,626
k=2,360,56,6.08929,18555
dynamic,360,60,5.96667,1766
greedy,360,59,5.61017,11
random,360,35,10.2857,0
bad_greedy,360,42,8.40476,0
k=1,360,59,5.61017,644
k=2,360,59,5.61017,19767
dynamic,360,56,6.42857,778
greedy,360,54,6.46296,10
random,360,27,13.3333,0
bad_greedy,360,40,8.5,0
k=1,360,54,6.46296,590
k=2,360,54,6.46296,18170
dynamic,600,60,9.98333,3099
greedy,600,60,8.83333,18
random,600,45,13.3333,0
bad_greedy,600,48,11.8542,0
k=1,600,60,8.83333,970
k=2,600,60,8.83333,23192
dynamic,600,59,10.0847,423
greedy,600,58,9.63793,12
random,600,42,14.2857,0
bad_greedy,600,45,12.7111,0
k=1,600,58,9.63793,677
k=2,600,58,9.63793,21193
dynamic,600,60,8.93333,31143
greedy,600,60,8.73333,12
random,600,45,13.3333,0
bad_greedy,600,46,12.3913,0
k=1,600,60,8.73333,755
k=2,600,60,8.73333,21979
dynamic,600,60,9.98333,15445
greedy,600,60,9.35,17
random,600,45,13.3333,0
bad_greedy,600,55,10.6,0
k=1,600,60,9.35,858
k=2,600,60,9.35,24385
dynamic,600,60,10,1966
greedy,600,60,9.8,21
random,600,44,13.6364,0
bad_greedy,600,45,12.9111,0
k=1,600,60,9.75,700
k=2,600,60,9.71667,20739
dynamic,240,49,4.79592,842
greedy,240,49,4.79592,10
random,240,37,6.37838,0
bad_greedy,240,40,5.825,0
k=1,240,49,4.79592,577
k=2,240,49,4.79592,17266
dynamic,240,51,4.70588,800
greedy,240,51,4.41176,9
random,240,34,7.05882,0
bad_greedy,240,43,5.4186,0
k=1,240,51,4.41176,541
k=2,240,51,4.41176,16609
dynamic,240,54,4.40741,2057
greedy,240,53,4.24528,9
random,240,36,6.66667,0
bad_greedy,240,40,5.675,0
k=1,240,53,4.24528,535
k=2,240,53,4.24528,16633
dynamic,240,52,4.61538,3128
greedy,240,50,4.68,11
random,240,37,6.43243,0
bad_greedy,240,40,5.7,0
k=1,240,50,4.68,621
k=2,240,50,4.68,18323
dynamic,240,52,4.61538,713
greedy,240,52,4.61538,9
random,240,39,6.07692,0
bad_greedy,240,38,6.13158,0
k=1,240,52,4.61538,493
k=2,240,52,4.61538,14958
dynamic,560,60,9.3,1453
greedy,560,59,8.88136,12
random,560,34,16.4706,0
bad_greedy,560,43,12.5581,0
k=1,560,59,8.81356,726
k=2,560,59,8.81356,22912
dynamic,560,58,9.65517,2335
greedy,560,57,8.96491,12
random,560,41,13.6585,0
bad_greedy,560,45,11.8667,0
k=1,560,57,8.96491,656
k=2,560,57,8.96491,20061
dynamic,560,60,9.25,709
greedy,560,60,7.86667,11
random,560,42,13.3095,0
bad_greedy,560,45,12.4222,0
k=1,560,60,7.86667,634
k=2,560,60,7.86667,19594
dynamic,560,57,9.82456,987
greedy,560,57,9.21053,13
random,560,42,13.3095,0
bad_greedy,560,49,10.9184,0
k=1,560,57,9.21053,761
k=2,560,57,9.21053,22770
dynamic,560,60,9.33333,1252
greedy,560,60,5.85,11
random,560,45,12.4222,0
bad_greedy,560,44,12.2955,0
k=1,560,60,5.83333,628
k=2,560,60,5.83333,19090
dynamic,240,56,4.28571,18146
greedy,240,56,3.875,10
random,240,34,7.05882,0
bad_greedy,240,46,4.93478,0
k=1,240,56,3.85714,556
k=2,240,56,3.83929,17596
dynamic,240,54,4.44444,5802
greedy,240,54,4.42593,10
random,240,30,8,0
bad_greedy,240,45,5.06667,0
k=1,240,54,4.42593,591
k=2,240,54,4.42593,17386
dynamic,240,51,4.68627,416
greedy,240,51,4.37255,10
random,240,26,9.19231,0
bad_greedy,240,39,5.82051,0
k=1,240,51,4.37255,593
k=2,240,51,4.37255,17898
