budget,dynamic coverage,dynamic cost_per_coverage,dynamic time,greedy coverage,greedy cost_per_coverage,greedy time,k=1 coverage,k=1 cost_per_coverage,k=1 time,random coverage,random cost_per_coverage,random time,bad_greedy coverage,bad_greedy cost_per_coverage,bad_greedy time,k=2 coverage,k=2 cost_per_coverage,k=2 time
40.0,28.12,1.4163405799999997,425.46,27.59,1.37346789,5.28,27.95,1.3778026900000002,291.9,13.65,3.2322982000000002,0.0,19.59,1.963004,0.0,27.95,1.3780822900000005,8740.73
80.0,36.76,2.167315299999999,312.06,36.07,2.0976861999999996,6.79,36.43,2.1059396000000006,383.3,18.25,4.704512000000001,0.0,24.8,3.1400171,0.05,36.41,2.1011601,11535.04
120.0,42.23,2.8317959999999993,474.38,41.51,2.7419734999999985,7.48,41.65,2.7433427999999993,437.3,22.16,5.7480662,0.0,30.33,3.826671399999999,0.0,41.65,2.7393243999999997,13149.03
160.0,45.98,3.4751655000000006,668.5,45.37,3.3748204000000004,8.25,45.41,3.3587111000000003,474.74,24.42,7.034371000000001,0.0,34.47,4.485972099999999,0.0,45.44,3.3575253000000007,14316.33
200.0,49.25,4.051650299999999,991.76,48.57,3.9351556,8.91,48.63,3.9358247999999993,509.91,28.59,7.2404074000000005,0.0,36.23,5.3240462000000015,0.0,48.65,3.9390477999999987,15356.66
240.0,51.89,4.617128399999998,1420.62,51.24,4.479999300000001,9.38,51.28,4.468630600000001,542.89,31.2,7.9462327,0.0,39.14,5.957911000000003,0.01,51.28,4.466723700000001,16346.91
280.0,53.75,5.190619000000002,2616.34,53.14,5.0508448999999995,10.32,53.19,5.038859599999999,584.97,33.88,8.506348000000004,0.0,40.64,6.6876061,0.0,53.19,5.036813499999999,17534.05
320.0,55.39,5.764552300000002,2762.64,54.8,5.585817299999999,10.29,54.83,5.584113499999998,591.23,35.08,9.318717099999999,0.0,41.57,7.511326900000001,0.0,54.83,5.582144099999998,17836.28
360.0,56.49,6.353856800000002,4106.71,55.95,6.1280189,10.63,55.99,6.125065600000002,618.09,36.74,10.107128299999998,0.0,43.27,8.103277199999999,0.0,56.0,6.126842500000004,18675.11
400.0,57.55,6.905130000000005,5472.0,57.01,6.5671479,11.05,57.05,6.566932300000001,632.99,40.04,10.186617199999999,0.0,44.33,8.799050999999999,0.0,57.05,6.566233400000001,18994.49
440.0,58.12,7.521811900000005,4763.68,57.71,7.1488746000000045,11.13,57.74,7.138042500000004,649.39,40.82,10.9187026,0.0,44.94,9.538985000000002,0.01,57.74,7.135674700000005,19557.76
480.0,58.88,8.014429900000001,6019.13,58.5,7.555279499999999,11.73,58.54,7.5605386999999995,670.85,42.65,11.470363099999997,0.0,45.96,10.174305499999997,0.01,58.54,7.558176799999999,20269.2
520.0,59.28,8.628778599999999,5626.39,59.07,7.891923299999999,11.38,59.08,7.876393699999999,660.61,44.67,11.782428400000004,0.0,46.74,10.863781499999998,0.0,59.08,7.875388199999999,20009.98
560.0,59.48,9.2043254,9323.35,59.22,8.310581900000003,11.74,59.22,8.298495200000001,677.78,45.54,12.416972000000008,0.0,47.29,11.568746199999998,0.01,59.22,8.297492400000001,20561.28
600.0,59.65,9.620947900000003,7493.5,59.47,8.6326544,12.4,59.49,8.630408700000002,690.31,46.64,13.014842000000005,0.0,47.79,12.254916999999995,0.0,59.49,8.628908600000003,20789.36
