budget,dynamic coverage,dynamic cost_per_coverage,dynamic time,greedy coverage,greedy cost_per_coverage,greedy time,k=1 coverage,k=1 cost_per_coverage,k=1 time,random coverage,random cost_per_coverage,random time,bad_greedy coverage,bad_greedy cost_per_coverage,bad_greedy time,k=2 coverage,k=2 cost_per_coverage,k=2 time
40,28.12,1.41634058,425.46,27.59,1.37346789,5.28,27.95,1.37780269,291.9,13.65,3.2322982,0,19.59,1.963004,0,27.95,1.37808229,8740.73
80,36.76,2.1673153,312.06,36.07,2.0976862,6.79,36.43,2.1059396,383.3,18.25,4.704512,0,24.8,3.1400171,0.05,36.41,2.1011601,11535.04
120,42.23,2.831796,474.38,41.51,2.7419735,7.48,41.65,2.7433428,437.3,22.16,5.7480662,0,30.33,3.8266714,0,41.65,2.7393244,13149.03
160,45.98,3.4751655,668.5,45.37,3.3748204,8.25,45.41,3.3587111,474.74,24.42,7.034371,0,34.47,4.4859721,0,45.44,3.3575253,14316.33
200,49.25,4.0516503,991.76,48.57,3.9351556,8.91,48.63,3.9358248,509.91,28.59,7.2404074,0,36.23,5.3240462,0,48.65,3.9390478,15356.66
240,51.89,4.6171284,1420.62,51.24,4.4799993,9.38,51.28,4.4686306,542.89,31.2,7.9462327,0,39.14,5.957911,0.01,51.28,4.4667237,16346.91
280,53.75,5.190619,2616.34,53.14,5.0508449,10.32,53.19,5.0388596,584.97,33.88,8.506348,0,40.64,6.6876061,0,53.19,5.0368135,17534.05
320,55.39,5.7645523,2762.64,54.8,5.5858173,10.29,54.83,5.5841135,591.23,35.08,9.3187171,0,41.57,7.5113269,0,54.83,5.5821441,17836.28
360,56.49,6.3538568,4106.71,55.95,6.1280189,10.63,55.99,6.1250656,618.09,36.74,10.1071283,0,43.27,8.1032772,0,56,6.1268425,18675.11
400,57.55,6.90513,5472,57.01,6.5671479,11.05,57.05,6.5669323,632.99,40.04,10.1866172,0,44.33,8.799051,0,57.05,6.5662334,18994.49
440,58.12,7.5218119,4763.68,57.71,7.1488746,11.13,57.74,7.1380425,649.39,40.82,10.9187026,0,44.94,9.538985,0.01,57.74,7.1356747,19557.76
480,58.88,8.0144299,6019.13,58.5,7.5552795,11.73,58.54,7.5605387,670.85,42.65,11.4703631,0,45.96,10.1743055,0.01,58.54,7.5581768,20269.2
520,59.28,8.6287786,5626.39,59.07,7.8919233,11.38,59.08,7.8763937,660.61,44.67,11.7824284,0,46.74,10.8637815,0,59.08,7.8753882,20009.98
560,59.48,9.2043254,9323.35,59.22,8.3105819,11.74,59.22,8.2984952,677.78,45.54,12.416972,0,47.29,11.5687462,0.01,59.22,8.2974924,20561.28
600,59.65,9.6209479,7493.5,59.47,8.6326544,12.4,59.49,8.6304087,690.31,46.64,13.014842,0,47.79,12.254917,0,59.49,8.6289086,20789.36
