algorithm,budget,coverage,cost per coverage unit,time
dynamic,40,36,40,6
greedy,40,36,40,2
random,40,14,40,0
bad_greedy,40,23,36,0
k=1,40,36,40,126
k=2,40,36,40,3805
dynamic,40,39,40,8
greedy,40,39,40,2
random,40,13,38,0
bad_greedy,40,22,35,0
k=1,40,39,40,141
k=2,40,39,40,4226
dynamic,40,40,40,5
greedy,40,40,38,2
random,40,18,40,0
bad_greedy,40,22,36,0
k=1,40,40,38,138
k=2,40,40,38,4133
dynamic,40,34,40,13
greedy,40,32,31,2
random,40,14,40,0
bad_greedy,40,20,39,0
k=1,40,32,31,140
k=2,40,32,31,4083
dynamic,40,37,38,11
greedy,40,37,38,2
random,40,21,40,0
bad_greedy,40,22,33,0
k=1,40,37,38,146
k=2,40,37,38,4738
dynamic,40,39,39,6
greedy,40,39,38,2
random,40,25,39,0
bad_greedy,40,24,36,0
k=1,40,39,38,132
k=2,40,39,38,4039
dynamic,40,36,37,13
greedy,40,38,40,2
random,40,26,36,0
bad_greedy,40,17,34,0
k=1,40,38,40,143
k=2,40,38,40,4362
dynamic,40,40,37,9
greedy,40,40,36,2
random,40,17,40,0
bad_greedy,40,17,37,0
k=1,40,40,36,121
k=2,40,40,36,3595
dynamic,40,41,39,15
greedy,40,41,39,2
random,40,19,39,0
bad_greedy,40,30,34,0
k=1,40,41,39,146
k=2,40,41,39,4362
dynamic,40,33,40,4
greedy,40,33,40,3
random,40,24,37,0
bad_greedy,40,17,35,0
k=1,40,33,40,122
k=2,40,33,40,3938
dynamic,40,31,37,6
greedy,40,31,40,2
random,40,22,39,0
bad_greedy,40,25,37,0
k=1,40,31,36,153
k=2,40,31,36,4372
dynamic,40,40,39,25
greedy,40,40,38,5
random,40,27,39,0
bad_greedy,40,29,38,0
k=1,40,40,38,189
k=2,40,40,38,5384
dynamic,40,38,40,7
greedy,40,36,39,4
random,40,8,38,0
bad_greedy,40,25,33,0
k=1,40,38,38,125
k=2,40,38,38,3581
dynamic,40,31,39,25
greedy,40,31,34,2
random,40,18,40,0
bad_greedy,40,21,35,0
k=1,40,31,34,117
k=2,40,31,34,3640
dynamic,40,33,40,8
greedy,40,33,40,2
random,40,17,39,0
bad_greedy,40,27,34,0
k=1,40,33,40,138
k=2,40,33,40,4040
dynamic,40,35,39,7
greedy,40,35,38,2
random,40,23,40,0
bad_greedy,40,20,40,0
k=1,40,35,35,137
k=2,40,35,33,4010
dynamic,40,37,38,13
greedy,40,37,40,2
random,40,20,40,0
bad_greedy,40,25,40,0
k=1,40,37,39,140
k=2,40,37,38,4198
dynamic,40,37,35,10
greedy,40,37,35,2
random,40,26,40,0
bad_greedy,40,30,34,0
k=1,40,37,35,146
k=2,40,37,35,4109
dynamic,40,35,40,7
greedy,40,35,38,2
random,40,17,40,0
bad_greedy,40,14,35,0
k=1,40,35,38,102
k=2,40,35,38,3094
dynamic,40,37,40,15
greedy,40,33,29,2
random,40,24,40,0
bad_greedy,40,26,40,0
k=1,40,37,39,144
k=2,40,37,39,4344
dynamic,40,34,40,5
greedy,40,34,38,3
random,40,18,40,0
bad_greedy,40,16,33,0
k=1,40,34,36,117
k=2,40,34,36,3604
dynamic,40,37,38,13
greedy,40,37,38,2
random,40,27,40,0
bad_greedy,40,25,39,0
k=1,40,37,38,142
k=2,40,37,38,4382
dynamic,40,32,38,8
greedy,40,32,38,2
random,40,14,36,0
bad_greedy,40,17,37,0
k=1,40,32,38,113
k=2,40,32,38,3378
dynamic,40,32,40,6
greedy,40,32,40,2
random,40,19,40,0
bad_greedy,40,25,38,0
k=1,40,32,40,130
k=2,40,32,40,4077
dynamic,40,38,40,8
greedy,40,38,40,4
random,40,25,40,0
bad_greedy,40,28,37,0
k=1,40,38,40,142
k=2,40,38,40,4301
dynamic,40,36,39,8
greedy,40,35,26,3
random,40,15,40,0
bad_greedy,40,31,34,0
k=1,40,35,26,134
k=2,40,35,26,4023
dynamic,40,37,40,6
greedy,40,37,40,3
random,40,27,39,0
bad_greedy,40,18,37,0
k=1,40,37,40,143
k=2,40,37,40,4308
dynamic,40,40,36,20
greedy,40,38,34,3
random,40,21,39,0
bad_greedy,40,26,37,0
k=1,40,40,35,171
k=2,40,40,35,5268
dynamic,40,37,39,8
greedy,40,37,39,2
random,40,14,40,0
bad_greedy,40,14,33,0
k=1,40,37,39,115
k=2,40,37,39,3473
dynamic,40,37,39,7
greedy,40,38,40,2
random,40,22,39,0
bad_greedy,40,14,34,0
k=1,40,38,40,135
k=2,40,38,40,4118
dynamic,40,40,40,11
greedy,40,39,36,2
random,40,24,39,0
bad_greedy,40,26,39,0
k=1,40,39,36,118
k=2,40,39,36,3830
dynamic,40,30,40,10
greedy,40,28,38,4
random,40,24,39,0
bad_greedy,40,16,35,0
k=1,40,30,40,129
k=2,40,30,40,3605
dynamic,40,33,40,9
greedy,40,33,35,2
random,40,16,39,0
bad_greedy,40,23,39,0
k=1,40,33,35,140
k=2,40,33,35,4173
dynamic,40,32,40,5
greedy,40,30,35,2
random,40,21,39,0
bad_greedy,40,17,37,0
k=1,40,30,32,127
k=2,40,30,32,3815
dynamic,40,34,40,9
greedy,40,33,35,2
random,40,23,40,0
bad_greedy,40,22,34,0
k=1,40,34,40,156
k=2,40,34,40,4573
dynamic,40,33,39,7
greedy,40,33,37,2
random,40,24,40,0
bad_greedy,40,22,37,0
k=1,40,33,37,142
k=2,40,33,37,4293
dynamic,40,32,38,6
greedy,40,32,39,2
random,40,15,40,0
bad_greedy,40,16,38,0
k=1,40,32,39,159
k=2,40,32,38,4374
dynamic,40,33,40,5
greedy,40,32,39,2
random,40,18,40,0
bad_greedy,40,16,38,0
k=1,40,33,39,131
k=2,40,33,39,3613
dynamic,40,37,39,13
greedy,40,37,33,2
random,40,14,36,0
bad_greedy,40,17,38,0
k=1,40,37,33,139
k=2,40,37,33,4262
dynamic,40,37,40,8
greedy,40,35,38,3
random,40,25,40,0
bad_greedy,40,23,38,0
k=1,40,36,39,146
k=2,40,36,39,4207
dynamic,40,35,40,6
greedy,40,34,38,2
random,40,19,40,0
bad_greedy,40,17,37,0
k=1,40,35,39,110
k=2,40,35,39,3319
dynamic,40,35,40,4
greedy,40,33,40,3
random,40,11,39,0
bad_greedy,40,21,34,0
k=1,40,35,40,127
k=2,40,35,40,3791
dynamic,40,38,39,5
greedy,40,38,39,2
random,40,32,40,0
bad_greedy,40,22,39,0
k=1,40,38,39,119
k=2,40,38,39,3678
dynamic,40,40,38,9
greedy,40,37,22,2
random,40,17,38,0
bad_greedy,40,34,37,0
k=1,40,40,38,136
k=2,40,40,38,4217
dynamic,40,39,38,8
greedy,40,39,38,2
random,40,25,38,0
bad_greedy,40,28,35,0
k=1,40,39,35,155
k=2,40,39,35,4820
dynamic,40,38,39,10
greedy,40,38,39,2
random,40,21,38,0
bad_greedy,40,25,36,0
k=1,40,38,39,156
k=2,40,38,39,4548
dynamic,40,37,40,6
greedy,40,35,36,6
random,40,19,38,0
bad_greedy,40,27,39,0
k=1,40,35,32,147
k=2,40,35,32,4665
dynamic,40,31,40,14
greedy,40,31,36,2
random,40,24,39,0
bad_greedy,40,16,36,0
k=1,40,31,36,143
k=2,40,31,36,4237
dynamic,40,43,40,10
greedy,40,42,35,3
random,40,25,40,0
bad_greedy,40,30,38,0
k=1,40,43,39,185
k=2,40,43,39,5435
dynamic,40,36,40,24
greedy,40,36,39,2
random,40,18,40,0
bad_greedy,40,25,37,0
k=1,40,36,39,111
k=2,40,36,39,3438
dynamic,40,38,40,10
greedy,40,37,34,2
random,40,28,40,0
bad_greedy,40,32,37,0
k=1,40,37,34,132
k=2,40,37,33,4027
dynamic,40,36,39,8
greedy,40,36,39,3
random,40,29,40,0
bad_greedy,40,22,34,0
k=1,40,36,39,159
k=2,40,36,39,4353
dynamic,40,44,36,8
greedy,40,44,34,3
random,40,19,40,0
bad_greedy,40,32,38,0
k=1,40,44,34,152
k=2,40,44,34,4847
dynamic,40,30,39,6
greedy,40,30,39,3
random,40,18,38,0
bad_greedy,40,18,33,0
k=1,40,30,39,142
k=2,40,30,39,4117
dynamic,40,38,39,6
greedy,40,38,39,3
random,40,20,40,0
bad_greedy,40,22,39,0
k=1,40,38,39,133
k=2,40,38,39,4239
dynamic,40,29,40,4
greedy,40,29,37,1
random,40,19,39,0
bad_greedy,40,15,39,0
k=1,40,29,37,89
k=2,40,29,37,2745
dynamic,40,35,40,8
greedy,40,35,40,2
random,40,16,37,0
bad_greedy,40,19,37,0
k=1,40,35,39,127
k=2,40,35,39,4038
dynamic,40,35,39,13
greedy,40,34,28,2
random,40,18,40,0
bad_greedy,40,15,40,0
k=1,40,35,35,125
k=2,40,35,35,3675
dynamic,40,38,39,10
greedy,40,38,39,2
random,40,15,40,0
bad_greedy,40,23,40,0
k=1,40,38,39,146
k=2,40,38,39,4468
dynamic,40,41,39,7
greedy,40,41,39,2
random,40,9,39,0
bad_greedy,40,22,36,0
k=1,40,41,39,112
k=2,40,41,39,3408
dynamic,40,30,40,3
greedy,40,30,40,1
random,40,18,38,0
bad_greedy,40,15,37,0
k=1,40,30,40,99
k=2,40,30,40,2919
dynamic,40,29,40,3
greedy,40,27,37,2
random,40,16,39,0
bad_greedy,40,15,37,0
k=1,40,28,38,131
k=2,40,28,38,4066
dynamic,40,35,40,4
greedy,40,32,40,2
random,40,26,40,0
bad_greedy,40,18,37,0
k=1,40,34,35,119
k=2,40,34,35,3697
dynamic,40,32,40,4
greedy,40,31,38,2
random,40,12,39,0
bad_greedy,40,23,36,0
k=1,40,32,40,119
k=2,40,32,40,3584
dynamic,40,36,39,22
greedy,40,35,36,2
random,40,19,40,0
