budget,bad_greedy coverage,bad_greedy cost_per_coverage,bad_greedy time,greedy coverage,greedy cost_per_coverage,greedy time,k=1 coverage,k=1 cost_per_coverage,k=1 time,k=2 coverage,k=2 cost_per_coverage,k=2 time,random coverage,random cost_per_coverage,random time
100.0,16.49,6.4659306,1.07,37.43,2.690850800000001,3.51,37.48,2.686688900000002,62.91,36.97,2.726125900000001,3074.49,18.66,5.775537300000001,0.0
200.0,27.5,7.475367000000003,1.04,59.3,3.387140200000001,3.41,59.74,3.3626786000000006,55.26,59.73,3.3634079000000003,2743.41,34.41,5.978214,0.0
300.0,33.03,9.285567899999995,1.04,72.51,4.146958700000001,3.29,73.0,4.1191869,46.91,73.1,4.1136542,2306.95,45.79,6.670027199999997,0.0
400.0,37.42,10.872366299999992,1.04,81.6,4.9104068999999955,3.13,82.11,4.879560699999996,41.21,82.21,4.873660799999997,2013.92,56.7,7.114346800000008,0.0
500.0,41.91,12.083629800000004,1.02,88.09,5.683315999999996,3.39,88.61,5.649980699999998,36.54,88.69,5.644951799999998,1774.87,65.05,7.735812399999999,0.0
600.0,52.1,11.645293099999998,1.08,91.91,6.537025599999997,3.28,92.49,6.495252499999996,36.98,92.66,6.483200999999997,1775.43,69.99,8.605744700000002,0.0
700.0,60.05,11.7587434,1.09,97.38,7.163084300000003,3.41,97.76,7.107055300000002,35.29,97.9,7.086720400000002,1687.39,75.52,9.297328500000006,0.0
800.0,64.27,12.517943999999995,1.01,99.69,7.441632700000001,3.37,99.8,7.336643099999998,33.54,99.82,7.3070268999999985,1605.64,80.38,9.974772999999995,0.0
900.0,66.79,13.554800000000002,1.07,99.93,7.602476099999999,3.2,99.94,7.499529300000001,34.98,99.95,7.4685825,1654.8,83.6,10.794804399999993,0.0
1000.0,69.14,14.550319,1.1,100.0,7.565999999999999,3.45,100.0,7.454000000000001,35.95,100.0,7.420000000000004,1708.56,86.01,11.650466999999997,0.0
1100.0,76.08,14.507528000000002,1.05,100.0,7.560000000000001,3.18,100.0,7.419999999999999,34.11,100.0,7.3759999999999994,1612.69,89.09,12.359654999999993,0.0
1200.0,80.26,14.984020000000005,1.06,100.0,7.5120000000000005,3.31,100.0,7.400000000000001,34.29,100.0,7.372000000000001,1638.89,91.23,13.164399999999995,0.0
1300.0,82.65,15.770058,1.03,100.0,7.473999999999998,3.41,100.0,7.357999999999997,33.71,100.0,7.325999999999996,1607.66,92.92,14.004274,0.0
1400.0,84.58,16.583629000000013,1.03,100.0,7.504000000000002,3.33,100.0,7.418000000000003,33.59,100.0,7.390000000000003,1607.06,94.13,14.882620000000005,0.0
1500.0,85.06,17.66285099999999,1.07,100.0,7.524000000000001,3.35,100.0,7.405999999999999,34.71,100.0,7.388,1649.94,95.52,15.709645000000002,0.0
1600.0,91.78,17.448522000000004,1.13,100.0,7.5639999999999965,3.28,100.0,7.463999999999996,35.43,100.0,7.445999999999995,1673.99,96.72,16.547482999999996,0.0
1700.0,95.71,17.769308000000002,1.05,100.0,7.521999999999997,3.3,100.0,7.394000000000001,34.1,100.0,7.37,1616.04,97.58,17.42596199999999,0.0
1800.0,97.78,18.412203000000016,1.07,100.0,7.546,3.35,100.0,7.4460000000000015,34.55,100.0,7.42,1627.73,98.63,18.252259000000013,0.0
1900.0,99.13,19.16822800000001,1.05,100.0,7.561999999999999,3.24,100.0,7.442000000000003,34.81,100.0,7.420000000000003,1670.57,99.17,19.160274000000005,0.0
2000.0,100.0,20.0,1.07,100.0,7.540000000000003,3.29,100.0,7.426000000000004,34.99,100.0,7.394000000000003,1655.38,100.0,20.0,0.0
2100.0,100.0,20.0,1.04,100.0,7.496000000000002,3.27,100.0,7.386000000000003,34.31,100.0,7.356000000000002,1615.6,100.0,20.0,0.0
2200.0,100.0,20.0,1.05,100.0,7.417999999999999,3.27,100.0,7.308000000000003,34.45,100.0,7.290000000000004,1651.3,100.0,20.0,0.0
2300.0,100.0,20.0,1.11,100.0,7.506000000000004,3.32,100.0,7.4,35.87,100.0,7.384000000000002,1690.36,100.0,20.0,0.0
2400.0,100.0,20.0,1.11,100.0,7.556000000000003,3.15,100.0,7.4440000000000035,36.02,100.0,7.4200000000000035,1693.7,100.0,20.0,0.0
2500.0,100.0,20.0,1.08,100.0,7.541999999999999,3.37,100.0,7.437999999999999,35.45,100.0,7.418000000000001,1674.77,100.0,20.0,0.0
2600.0,100.0,20.0,1.1,100.0,7.596000000000004,3.29,100.0,7.478000000000003,35.01,100.0,7.444000000000001,1646.4,100.0,20.0,0.0
2700.0,100.0,20.0,1.09,100.0,7.536000000000002,3.21,100.0,7.404,33.7,100.0,7.388,1623.72,100.0,20.0,0.0
2800.0,100.0,20.0,1.02,100.0,7.4860000000000015,3.26,100.0,7.386000000000001,33.2,100.0,7.352,1604.83,100.0,20.0,0.0
2900.0,100.0,20.0,1.04,100.0,7.446000000000001,3.3,100.0,7.329999999999999,34.15,100.0,7.311999999999997,1615.94,100.0,20.0,0.0
