algorithm,budget,coverage,cost_per_coverage,time
greedy,1400,67,20.3284,3
random,1400,29,46.6897,0
bad_greedy,1400,37,36.5135,2
k=1,1400,67,20.3284,45
k=2,1400,67,20.3284,2254
greedy,1400,59,23.3729,3
random,1400,39,35.5897,0
bad_greedy,1400,34,39.3529,1
k=1,1400,59,23.3729,56
k=2,1400,59,23.3729,2821
greedy,1400,62,21.6613,3
random,1400,33,42,0
bad_greedy,1400,44,31.0455,1
k=1,1400,63,21.4762,53
k=2,1400,63,21.4762,2809
greedy,1400,62,21.9516,3
random,1400,35,39.0571,0
bad_greedy,1400,37,37.7297,1
k=1,1400,63,21.9841,59
k=2,1400,63,21.9841,2891
greedy,1400,53,26.2453,3
random,1400,28,48.5357,0
bad_greedy,1400,30,46.2333,1
k=1,1400,53,26.2453,62
k=2,1400,53,26.2453,2815
greedy,1400,61,22.7213,3
random,1400,25,55.52,0
bad_greedy,1400,42,33.3095,1
k=1,1400,62,21.8065,49
k=2,1400,63,22.127,2491
greedy,1400,60,23.1667,3
random,1400,36,37.5278,0
bad_greedy,1400,32,41.8438,1
k=1,1400,60,22.7333,51
k=2,1400,60,22.6833,2517
greedy,1400,56,24.3393,3
random,1400,30,45.3333,0
bad_greedy,1400,35,37.4286,1
k=1,1400,56,23.625,49
k=2,1400,56,23.625,2432
greedy,1400,57,24.2632,3
random,1400,24,57.3333,0
bad_greedy,1400,35,37.8571,1
k=1,1400,58,23.6379,54
k=2,1400,58,23.6379,2598
greedy,1400,63,21.5714,3
random,1400,38,36.6579,0
bad_greedy,1400,39,34.4615,1
k=1,1400,63,21.5714,52
k=2,1400,63,21.5714,2522
greedy,2100,76,26.9737,3
random,2100,40,51.35,0
bad_greedy,2100,53,39.5849,1
k=1,2100,76,26.9737,40
k=2,2100,76,26.9605,1911
greedy,2100,68,29.8824,3
random,2100,40,51.55,0
bad_greedy,2100,48,41.6458,1
k=1,2100,68,29.8824,54
k=2,2100,68,29.8824,2662
greedy,2100,82,25.2073,3
random,2100,32,65.5625,0
bad_greedy,2100,52,39.9038,1
k=1,2100,82,25.1098,37
k=2,2100,82,25.1098,1825
greedy,2100,72,28.7778,3
random,2100,42,49.5476,0
bad_greedy,2100,50,41.56,1
k=1,2100,73,28.726,43
k=2,2100,73,28.726,2125
greedy,2100,73,28.7123,4
random,2100,46,44.6957,0
bad_greedy,2100,57,35.5263,1
k=1,2100,73,28.7123,48
k=2,2100,73,28.7123,2512
greedy,2100,70,29.7286,3
random,2100,32,65.625,0
bad_greedy,2100,52,38.9231,2
k=1,2100,70,29.4,51
k=2,2100,70,29.3286,2491
greedy,2100,75,27.52,3
random,2100,48,43.0208,0
bad_greedy,2100,54,38.5,1
k=1,2100,75,26.8533,46
k=2,2100,75,26.8533,2244
greedy,2100,73,28.0548,3
random,2100,35,60,0
bad_greedy,2100,42,48.0952,1
k=1,2100,73,28.0548,46
k=2,2100,73,28.0548,2160
greedy,2100,72,28.8611,3
random,2100,44,47.5909,0
bad_greedy,2100,45,46.6444,1
k=1,2100,72,28.8333,43
k=2,2100,72,28.8333,2171
greedy,2100,79,26.443,3
random,2100,37,56,0
bad_greedy,2100,53,38.6792,1
k=1,2100,79,26.443,41
k=2,2100,79,26.443,1953
greedy,300,32,9.125,3
random,300,4,65,0
bad_greedy,300,18,14.3333,1
k=1,300,32,9.125,75
k=2,300,32,9.125,3203
greedy,300,22,12.0909,3
random,300,2,146.5,0
bad_greedy,300,11,24.3636,1
k=1,300,24,11.875,65
k=2,300,24,11.875,3143
greedy,300,19,14.1579,3
random,300,9,30.6667,0
bad_greedy,300,16,16.1875,1
