algorithm,budget,coverage,cost_per_coverage,distribution,radius,time
greedy,1400,100,8.2,2,11,9
random,1400,89,15.7303,2,11,0
bad_greedy,1400,78,17.9487,2,11,1
k=1,1400,100,8,2,11,36
k=2,1400,100,8,2,11,1697
greedy,1400,100,1.17,3,11,3
random,1400,100,4.55,3,11,0
bad_greedy,1400,100,4.55,3,11,1
k=1,1400,100,1.14,3,11,28
k=2,1400,100,1.12,3,11,1399
greedy,1400,67,20.3284,4,11,3
random,1400,29,46.6897,4,11,0
bad_greedy,1400,37,36.5135,4,11,2
k=1,1400,67,20.3284,4,11,45
k=2,1400,67,20.3284,4,11,2254
greedy,1400,100,7,2,11,3
random,1400,96,14.5833,2,11,0
bad_greedy,1400,89,15.7303,2,11,1
k=1,1400,100,7,2,11,30
k=2,1400,100,7,2,11,1472
greedy,1400,100,1.17,3,11,3
random,1400,100,4.69,3,11,0
bad_greedy,1400,100,4.69,3,11,1
k=1,1400,100,1.1,3,11,32
k=2,1400,100,1.07,3,11,1466
greedy,1400,59,23.3729,4,11,3
random,1400,39,35.5897,4,11,0
bad_greedy,1400,34,39.3529,4,11,1
k=1,1400,59,23.3729,4,11,56
k=2,1400,59,23.3729,4,11,2821
greedy,1400,100,7.8,2,11,3
random,1400,94,14.8936,2,11,0
bad_greedy,1400,80,17.5,2,11,1
k=1,1400,100,7.6,2,11,34
k=2,1400,100,7.6,2,11,1648
greedy,1400,100,0.94,3,11,3
random,1400,100,4.51,3,11,0
bad_greedy,1400,100,4.51,3,11,1
k=1,1400,100,0.93,3,11,29
k=2,1400,100,0.92,3,11,1494
greedy,1400,62,21.6613,4,11,3
random,1400,33,42,4,11,0
bad_greedy,1400,44,31.0455,4,11,1
k=1,1400,63,21.4762,4,11,53
k=2,1400,63,21.4762,4,11,2809
greedy,1400,100,6.2,2,11,3
random,1400,95,14.7368,2,11,0
bad_greedy,1400,83,16.8675,2,11,2
k=1,1400,100,6.2,2,11,30
k=2,1400,100,6.2,2,11,1418
greedy,1400,100,1.26,3,11,3
random,1400,100,4.75,3,11,0
bad_greedy,1400,100,4.75,3,11,1
k=1,1400,100,1.23,3,11,33
k=2,1400,100,1.2,3,11,1630
greedy,1400,62,21.9516,4,11,3
random,1400,35,39.0571,4,11,0
bad_greedy,1400,37,37.7297,4,11,1
k=1,1400,63,21.9841,4,11,59
k=2,1400,63,21.9841,4,11,2891
greedy,1400,100,7.6,2,11,3
random,1400,93,15.0538,2,11,0
bad_greedy,1400,88,15.9091,2,11,1
k=1,1400,100,7.6,2,11,33
k=2,1400,100,7.6,2,11,1712
greedy,1400,100,1.06,3,11,3
random,1400,100,4.84,3,11,0
bad_greedy,1400,100,4.84,3,11,1
k=1,1400,100,1.03,3,11,30
k=2,1400,100,1.01,3,11,1450
greedy,1400,53,26.2453,4,11,3
random,1400,28,48.5357,4,11,0
bad_greedy,1400,30,46.2333,4,11,1
k=1,1400,53,26.2453,4,11,62
k=2,1400,53,26.2453,4,11,2815
greedy,1400,100,6.8,2,11,3
random,1400,94,14.8936,2,11,0
bad_greedy,1400,82,17.0732,2,11,1
k=1,1400,100,6.6,2,11,30
k=2,1400,100,6.6,2,11,1466
greedy,1400,100,1.03,3,11,3
random,1400,100,4.42,3,11,0
bad_greedy,1400,100,4.42,3,11,1
k=1,1400,100,0.98,3,11,31
k=2,1400,100,0.98,3,11,1508
greedy,1400,61,22.7213,4,11,3
random,1400,25,55.52,4,11,0
bad_greedy,1400,42,33.3095,4,11,1
k=1,1400,62,21.8065,4,11,49
k=2,1400,63,22.127,4,11,2491
greedy,1400,100,6.8,2,11,3
random,1400,95,14.7368,2,11,0
bad_greedy,1400,90,15.5556,2,11,1
k=1,1400,100,6.8,2,11,32
k=2,1400,100,6.8,2,11,1468
greedy,1400,100,1.48,3,11,3
random,1400,100,4.59,3,11,0
bad_greedy,1400,100,4.59,3,11,1
k=1,1400,100,1.42,3,11,35
k=2,1400,100,1.4,3,11,1655
greedy,1400,60,23.1667,4,11,3
random,1400,36,37.5278,4,11,0
bad_greedy,1400,32,41.8438,4,11,1
k=1,1400,60,22.7333,4,11,51
k=2,1400,60,22.6833,4,11,2517
greedy,1400,100,6.8,2,11,3
random,1400,95,14.7368,2,11,0
bad_greedy,1400,81,17.284,2,11,1
k=1,1400,100,6.8,2,11,30
k=2,1400,100,6.8,2,11,1444
greedy,1400,100,1.1,3,11,3
random,1400,100,4.19,3,11,0
bad_greedy,1400,100,4.19,3,11,1
k=1,1400,100,1.05,3,11,33
k=2,1400,100,1.02,3,11,1601
greedy,1400,56,24.3393,4,11,3
random,1400,30,45.3333,4,11,0
bad_greedy,1400,35,37.4286,4,11,1
k=1,1400,56,23.625,4,11,49
k=2,1400,56,23.625,4,11,2432
greedy,1400,100,7.8,2,11,3
random,1400,95,14.7368,2,11,0
bad_greedy,1400,79,17.7215,2,11,1
k=1,1400,100,7.8,2,11,33
