algorithm,coverage,cost_per_coverage,radius,time
greedy,100,1.08,12,4
random,100,4.43,12,0
bad_greedy,100,4.43,12,1
k=1,100,1.05,12,48
k=2,100,1.02,12,2299
greedy,100,1.01,12,4
random,100,4.58,12,0
bad_greedy,100,4.58,12,2
k=1,100,0.99,12,33
k=2,100,0.97,12,1682
greedy,100,0.89,12,3
random,100,4.44,12,0
bad_greedy,100,4.44,12,2
k=1,100,0.87,12,30
k=2,100,0.87,12,1525
greedy,100,1.01,12,3
random,100,4.43,12,0
bad_greedy,100,4.43,12,1
k=1,100,0.98,12,34
k=2,100,0.97,12,1334
greedy,100,1.11,12,3
random,100,4.68,12,0
bad_greedy,100,4.68,12,1
k=1,100,1.06,12,28
k=2,100,1.02,12,1346
greedy,100,0.93,12,3
random,100,4.4,12,0
bad_greedy,100,4.4,12,1
k=1,100,0.89,12,37
k=2,100,0.87,12,1368
greedy,100,0.82,12,3
random,100,4.58,12,0
bad_greedy,100,4.58,12,1
k=1,100,0.79,12,27
k=2,100,0.79,12,1243
greedy,100,1.02,12,3
random,100,4.3,12,0
bad_greedy,100,4.3,12,1
k=1,100,0.95,12,30
k=2,100,0.94,12,1461
greedy,100,0.96,12,4
random,100,4.77,12,0
bad_greedy,100,4.77,12,2
k=1,100,0.93,12,45
k=2,100,0.91,12,1926
greedy,100,1,12,4
random,100,4.55,12,0
bad_greedy,100,4.55,12,1
k=1,100,0.91,12,41
k=2,100,0.89,12,1649
greedy,100,3.85,3,4
random,100,4.54,3,0
bad_greedy,100,4.54,3,1
k=1,100,3.85,3,61
k=2,100,3.85,3,3000
greedy,100,3.53,3,3
random,100,4.09,3,0
bad_greedy,100,4.09,3,1
k=1,100,3.53,3,60
k=2,100,3.53,3,2967
greedy,100,4.12,3,3
random,100,4.62,3,0
bad_greedy,100,4.62,3,1
k=1,100,4.12,3,61
k=2,100,4.12,3,3040
greedy,100,3.97,3,3
random,100,4.34,3,0
bad_greedy,100,4.34,3,1
k=1,100,3.97,3,62
k=2,100,3.97,3,3044
greedy,99,3.9596,3,3
random,100,4.63,3,0
bad_greedy,100,4.63,3,1
k=1,100,3.91,3,60
k=2,100,3.91,3,2931
greedy,100,3.79,3,3
random,100,4.46,3,0
bad_greedy,100,4.46,3,1
k=1,100,3.79,3,61
k=2,100,3.79,3,2966
greedy,100,3.64,3,3
random,100,4.44,3,0
bad_greedy,100,4.44,3,1
k=1,100,3.64,3,61
k=2,100,3.64,3,2976
greedy,100,3.81,3,3
random,100,4.51,3,0
bad_greedy,100,4.51,3,1
k=1,100,3.81,3,61
k=2,100,3.81,3,2959
greedy,100,3.73,3,3
random,100,4.48,3,0
bad_greedy,100,4.48,3,1
k=1,100,3.73,3,61
k=2,100,3.73,3,2982
greedy,100,3.94,3,3
random,100,4.28,3,0
bad_greedy,100,4.28,3,1
k=1,100,3.92,3,65
k=2,100,3.92,3,3073
greedy,100,0.51,18,3
random,100,4.72,18,0
bad_greedy,100,4.72,18,1
k=1,100,0.46,18,19
k=2,100,0.44,18,848
greedy,100,0.39,18,3
random,100,4.61,18,0
bad_greedy,100,4.61,18,1
k=1,100,0.35,18,18
k=2,100,0.34,18,825
greedy,100,0.26,18,3
random,100,4.45,18,0
bad_greedy,100,4.45,18,1
k=1,100,0.26,18,16
k=2,100,0.26,18,726
greedy,100,0.36,18,3
random,100,4.6,18,0
