algorithm,budget,coverage,cost per coverage unit
dynamic,20,3,3.33333
brute_force,20,3,3.33333
greedy,20,3,3.33333
dynamic,20,3,3.33333
brute_force,20,3,3.33333
greedy,20,3,3.33333
dynamic,20,4,2.5
brute_force,20,4,2.5
greedy,20,4,2.5
dynamic,20,7,2.85714
brute_force,20,7,2.85714
greedy,20,4,2.5
dynamic,20,5,3
brute_force,20,5,3
greedy,20,5,3
dynamic,20,4,5
brute_force,20,4,5
greedy,20,2,5
dynamic,20,5,4
brute_force,20,5,4
greedy,20,3,3.33333
dynamic,20,9,2.22222
brute_force,20,9,2.22222
greedy,20,5,2
dynamic,20,4,3
brute_force,20,4,3
greedy,20,4,3
dynamic,20,5,2.2
brute_force,20,5,2.2
greedy,20,5,2.2
dynamic,20,7,2.85714
brute_force,20,7,2.85714
greedy,20,4,2.75
dynamic,20,5,2
brute_force,20,5,2
greedy,20,5,2
dynamic,20,4,2.75
brute_force,20,4,2.75
greedy,20,4,2.75
dynamic,20,3,3.33333
brute_force,20,3,3.33333
greedy,20,3,3.33333
dynamic,20,4,2.75
brute_force,20,4,2.75
greedy,20,4,2.75
dynamic,20,5,4
brute_force,20,5,4
greedy,20,4,2.5
dynamic,20,3,3.33333
brute_force,20,3,3.33333
greedy,20,3,3.33333
dynamic,20,7,2.85714
brute_force,20,7,2.85714
greedy,20,5,2
dynamic,20,5,2.4
brute_force,20,5,2.4
greedy,20,5,2.4
dynamic,20,6,3.33333
brute_force,20,6,3.33333
greedy,20,4,2.5
dynamic,20,4,3
brute_force,20,4,3
greedy,20,4,3
dynamic,20,5,4
brute_force,20,5,4
greedy,20,3,3.33333
dynamic,20,4,5
brute_force,20,4,5
greedy,20,2,5
dynamic,20,7,2.85714
brute_force,20,7,2.85714
greedy,20,4,2.5
dynamic,20,3,4.33333
brute_force,20,3,4.33333
greedy,20,3,4.33333
dynamic,20,3,3.33333
brute_force,20,3,3.33333
greedy,20,3,3.33333
dynamic,20,6,3.33333
brute_force,20,6,3.33333
greedy,20,4,2.5
dynamic,20,4,5
brute_force,20,4,5
greedy,20,2,5
dynamic,20,4,4.25
brute_force,20,4,3.5
greedy,20,3,3.33333
dynamic,20,4,3.75
brute_force,20,4,3.5
greedy,20,4,3.5
dynamic,20,5,4
brute_force,20,5,4
greedy,20,4,2.5
dynamic,20,3,4.66667
brute_force,20,3,4.66667
greedy,20,3,4.66667
dynamic,20,4,2.5
brute_force,20,4,2.5
greedy,20,4,2.5
dynamic,20,5,2
brute_force,20,5,2
greedy,20,5,2
dynamic,20,7,2.85714
brute_force,20,7,2.85714
greedy,20,5,2
dynamic,20,5,2.2
brute_force,20,5,2.2
greedy,20,5,2.2
dynamic,20,3,4.66667
brute_force,20,3,4.66667
greedy,20,3,4.66667
dynamic,20,5,2.8
brute_force,20,5,2.8
greedy,20,5,2.8
dynamic,20,7,2.85714
brute_force,20,7,2.85714
greedy,20,5,2
dynamic,20,6,2.83333
brute_force,20,6,2.83333
greedy,20,6,2.83333
dynamic,20,4,3.75
brute_force,20,4,3.75
greedy,20,4,3.75
dynamic,20,4,5
brute_force,20,4,5
greedy,20,2,5
dynamic,20,4,2.75
brute_force,20,4,2.75
greedy,20,4,2.75
dynamic,20,5,4
brute_force,20,5,4
greedy,20,4,2.5
dynamic,20,6,3.33333
brute_force,20,6,3.33333
greedy,20,4,2.5
dynamic,20,10,2
brute_force,20,10,2
greedy,20,7,1.42857
dynamic,20,6,3.33333
brute_force,20,6,3.33333
greedy,20,4,2.5
dynamic,20,4,3.5
brute_force,20,4,3
greedy,20,4,3
