algorithm,budget,coverage,cost per coverage unit

dynamic,20.0,4.635,3.6137773999999996
brute_force,20.0,4.635,3.5461106999999994
greedy,20.0,3.86,3.2863328500000013
dynamic,40.0,8.505,4.413172149999999
brute_force,40.0,8.505,4.326004449999998
greedy,40.0,8.055,4.283831249999998
dynamic,60.0,11.27,5.148911799999999
brute_force,60.0,11.27,4.9869338999999995
greedy,60.0,10.845,4.985750249999999
dynamic,80.0,13.385,5.80650575
brute_force,80.0,13.385,5.6715024
greedy,80.0,12.87,5.713543000000002
dynamic,100.0,15.08,6.498003799999995
brute_force,100.0,15.08,6.275356599999996
greedy,100.0,14.56,6.366865650000002
dynamic,120.0,16.635,7.083277700000004
brute_force,120.0,16.635,6.884813999999998
greedy,120.0,16.125,7.024111349999997
dynamic,140.0,17.915,7.709622100000006
brute_force,140.0,17.915,7.442838800000001
greedy,140.0,17.275,7.634065050000004
dynamic,160.0,19.035,8.268636250000004
brute_force,160.0,19.035,7.985668300000001
greedy,160.0,18.305,8.256599750000003
dynamic,180.0,19.995,8.88891755
brute_force,180.0,19.995,8.548112350000002
greedy,180.0,19.285,8.825587449999995
dynamic,200.0,20.915,9.395128350000007
brute_force,200.0,20.915,9.071058800000001
greedy,200.0,20.1,9.425360050000004
dynamic,220.0,21.735,10.004708550000007
brute_force,220.0,21.735,9.633704050000004
greedy,220.0,20.805,10.009905600000002
dynamic,240.0,22.46,10.537037449999998
brute_force,240.0,22.46,10.156496100000002
greedy,240.0,21.455,10.597975400000005
dynamic,260.0,23.165,11.073196699999999
brute_force,260.0,23.165,10.650727199999992
greedy,260.0,22.06,11.190010050000001
dynamic,280.0,23.785,11.61819719999999
brute_force,280.0,23.785,11.15308845
greedy,280.0,22.58,11.788838850000001
dynamic,300.0,24.31,12.186319550000002
brute_force,300.0,24.31,11.619122049999996
greedy,300.0,23.115,12.361197200000007
dynamic,320.0,24.895,12.697724499999998
brute_force,320.0,24.895,12.162292349999994
greedy,320.0,23.625,12.89688950000001
dynamic,340.0,25.345,13.235206499999997
brute_force,340.0,25.345,12.64606085
greedy,340.0,24.065,13.511511500000008
dynamic,360.0,25.835,13.764413000000006
brute_force,360.0,25.835,13.148443150000006
greedy,360.0,24.42,14.059904000000003
dynamic,380.0,26.15,14.340635500000003
brute_force,380.0,26.15,13.519581650000006
greedy,380.0,24.79,14.604887500000002
dynamic,400.0,26.591836734693878,14.874329081632657
brute_force,400.0,26.591836734693878,14.084058826530615
greedy,400.0,25.143589743589743,15.167736410256415
