algorithm,budget,coverage,cost_per_coverage,time
greedy,100,7,10.7143,0
random,100,3,30.3333,0
bad_greedy,100,7,14.2857,0
k=1,100,7,10.7143,21
k=2,100,7,10.7143,1173
greedy,100,7,9.42857,1
random,100,2,47,0
bad_greedy,100,4,24,0
k=1,100,8,10.5,23
k=2,100,8,10.5,1122
greedy,100,10,9.6,1
random,100,5,17,0
bad_greedy,100,7,11.7143,0
k=1,100,10,9.6,23
k=2,100,10,9,1134
greedy,100,11,8.27273,1
random,100,2,45.5,0
bad_greedy,100,8,12.375,0
k=1,100,11,8.27273,34
k=2,100,11,8.27273,1116
greedy,100,7,14,1
random,100,4,23.25,0
bad_greedy,100,7,14,0
k=1,100,7,11.8571,29
k=2,100,7,11.8571,1231
greedy,100,8,10.25,1
random,100,4,21,0
bad_greedy,100,5,15.6,0
k=1,100,9,11.1111,26
k=2,100,9,11.1111,1283
greedy,100,9,7.88889,0
random,100,5,20,0
bad_greedy,100,9,7.88889,0
k=1,100,9,7.88889,23
k=2,100,9,7.88889,1191
greedy,100,11,8.63636,1
random,100,7,11.8571,0
bad_greedy,100,8,11.25,0
k=1,100,11,8.45455,23
k=2,100,11,8.45455,1140
greedy,100,8,12.5,1
random,100,1,97,0
bad_greedy,100,7,11.5714,0
k=1,100,8,11.375,26
k=2,100,8,11.375,1187
greedy,100,9,10.6667,1
random,100,3,33,0
bad_greedy,100,8,11.875,0
k=1,100,9,10.6667,33
k=2,100,9,10.6667,1176
greedy,100,11,8.54545,1
random,100,1,62,0
bad_greedy,100,10,7.7,0
k=1,100,11,8.54545,23
k=2,100,11,8.54545,1161
greedy,100,14,5.71429,1
random,100,8,9.625,0
bad_greedy,100,13,7.69231,0
k=1,100,14,5.71429,24
k=2,100,14,5.71429,1129
greedy,100,6,16.5,1
random,100,3,29.3333,0
bad_greedy,100,3,24.3333,0
k=1,100,6,16.5,23
k=2,100,6,16.5,1199
greedy,100,7,13.7143,1
random,100,5,19.4,0
bad_greedy,100,3,31.6667,0
k=1,100,7,13.7143,22
k=2,100,7,13.7143,1180
greedy,100,7,13.2857,1
random,100,7,13.5714,0
bad_greedy,100,7,13.2857,0
k=1,100,7,13.2857,28
k=2,100,7,13.2857,1162
greedy,100,9,11.1111,1
random,100,3,31.3333,0
bad_greedy,100,3,30.3333,0
k=1,100,9,11.1111,24
k=2,100,9,11.1111,1171
greedy,100,9,9.33333,2
random,100,3,28,0
bad_greedy,100,9,9.33333,0
k=1,100,9,9.33333,22
k=2,100,9,9.33333,1157
greedy,100,6,14,1
random,100,2,42.5,0
bad_greedy,100,4,15.25,0
k=1,100,6,14,22
k=2,100,6,14,1178
greedy,100,6,13.5,1
random,100,5,18.2,0
bad_greedy,100,3,21,0
k=1,100,6,13.5,30
k=2,100,7,14,1281
greedy,100,8,9.875,1
random,100,2,47.5,0
bad_greedy,100,6,12.5,0
k=1,100,8,9.875,23
k=2,100,8,9.875,1158
greedy,100,10,7.7,1
random,100,1,93,0
bad_greedy,100,7,9.71429,0
k=1,100,10,7.7,22
k=2,100,10,7.7,1081
greedy,100,6,12.5,1
random,100,3,27.3333,0
bad_greedy,100,6,15.3333,0
k=1,100,7,13.5714,22
k=2,100,7,13.5714,1168
greedy,100,10,9.6,1
random,100,5,19.2,0
bad_greedy,100,8,10.375,0
k=1,100,10,9.6,22
k=2,100,10,9.6,1099
greedy,100,8,11.875,1
random,100,2,48.5,0
bad_greedy,100,4,22,0
k=1,100,8,11.875,23
k=2,100,8,11.875,1136
