budget,bad_greedy coverage,bad_greedy cost_per_coverage,bad_greedy time,greedy coverage,greedy cost_per_coverage,greedy time,k=1 coverage,k=1 cost_per_coverage,k=1 time,k=2 coverage,k=2 cost_per_coverage,k=2 time,random coverage,random cost_per_coverage,random time
100.0,6.32,14.977542800000002,0.0,8.28,11.103151299999997,0.64,8.44,11.068420599999998,22.71,8.47,11.088075599999998,1124.21,3.68,33.62679220000001,0.0
200.0,9.96,18.735422000000007,0.0,12.82,14.912532000000006,0.4,12.97,14.892809000000005,21.79,13.0,14.893754000000003,1099.78,4.89,53.52753800000001,0.0
300.0,13.02,21.816204,0.0,17.24,16.881543,0.34,17.32,16.821797,22.15,17.35,16.808999,1104.71,5.91,62.56140000000001,0.0
400.0,16.46,23.711109999999998,0.0,20.92,18.673651000000003,0.23,21.08,18.617889000000005,21.55,21.13,18.624661000000007,1086.91,7.65,61.385953,0.0
500.0,18.53,25.992037999999997,0.0,24.02,20.454739999999997,0.17,24.09,20.372819000000003,21.34,24.09,20.367167000000002,1071.76,8.38,67.48670000000001,0.0
600.0,20.72,28.088294000000005,0.01,26.98,21.766014999999996,0.13,27.14,21.681725000000007,21.04,27.16,21.661463000000005,1062.51,8.87,75.89463799999999,0.0
700.0,22.45,30.06184399999998,0.01,29.89,22.920832000000015,0.05,30.06,22.851176000000013,20.57,30.08,22.826047000000006,1041.05,10.59,75.46371500000002,0.0
800.0,23.34,33.439240999999996,0.0,30.78,25.472959999999993,0.05,30.99,25.338271999999982,20.57,31.02,25.31991999999999,1034.85,11.98,71.42911199999998,0.0
900.0,25.2,34.60196699999999,0.01,33.94,25.975678999999996,0.1,34.11,25.871936,20.4,34.17,25.858710999999992,1022.3,12.93,74.64960099999998,0.0
1000.0,27.29,35.582154,0.0,36.04,27.252474000000007,0.01,36.23,27.09833100000001,20.35,36.27,27.085541000000013,1017.34,14.14,74.936087,0.0
1100.0,28.69,37.50137099999999,0.0,37.59,28.868983000000004,0.0,37.7,28.71527499999999,20.08,37.74,28.707700999999993,1009.08,14.82,77.70596500000002,0.0
1200.0,30.27,38.803720000000006,0.0,39.94,29.602323000000005,0.1,40.17,29.471248,19.94,40.19,29.428620000000002,999.89,15.5,82.14541999999997,0.0
1300.0,31.25,40.724869000000005,0.0,41.24,30.954791999999994,0.04,41.49,30.810197999999986,19.76,41.53,30.774386999999983,996.69,17.83,75.49251100000001,0.0
1400.0,32.7,41.99944299999999,0.0,42.85,32.174509000000015,0.04,43.01,32.026908000000006,19.6,43.07,32.01413600000002,986.63,18.16,79.70228199999998,0.0
1500.0,33.89,43.37360400000001,0.0,44.7,33.07834,0.02,44.9,32.92451100000001,19.62,44.93,32.898527000000016,979.64,19.02,81.358382,0.0
1600.0,35.51,44.208597999999995,0.0,46.04,34.245283,0.03,46.21,34.08363099999999,19.7,46.25,34.049199,977.83,20.26,81.874949,0.0
1700.0,37.24,44.81503399999999,0.0,48.58,34.41790199999999,0.02,48.78,34.26216899999999,19.31,48.83,34.230193,965.85,21.58,81.143814,0.0
1800.0,38.7,45.709755,0.0,49.78,35.646454999999996,0.03,49.95,35.45773399999998,19.3,50.04,35.45046999999999,963.06,22.14,83.058245,0.0
1900.0,38.99,47.746871999999996,0.0,50.37,37.20344500000001,0.05,50.57,37.007737999999996,19.31,50.67,36.97140500000001,961.99,23.47,82.38740699999998,0.0
2000.0,40.64,48.390994000000006,0.0,52.35,37.64284,0.01,52.61,37.511357,18.87,52.66,37.475713999999996,948.84,24.73,83.07087800000001,0.0
