algorithm,budget,coverage,cost_per_coverage,time
greedy,100,4,14.25,1
random,100,2,43.5,0
bad_greedy,100,2,27.5,0
k=1,100,4,14.25,24
k=2,100,4,14.25,1157
greedy,100,3,19.6667,0
random,100,2,42.5,0
bad_greedy,100,1,50,0
k=1,100,3,19.6667,24
k=2,100,3,19.6667,1170
greedy,100,3,17.3333,1
random,100,1,89,0
bad_greedy,100,3,17.3333,0
k=1,100,4,18,22
k=2,100,4,18,1164
greedy,100,7,12.4286,2
random,100,2,35.5,0
bad_greedy,100,1,55,0
k=1,100,7,12.4286,32
k=2,100,7,12.4286,1293
greedy,100,3,17.6667,2
random,100,2,30.5,0
bad_greedy,100,3,17.6667,1
k=1,100,3,17.6667,35
k=2,100,3,17.6667,1353
greedy,100,6,11.8333,1
random,100,2,39,0
bad_greedy,100,2,25.5,0
k=1,100,6,11.8333,25
k=2,100,6,11.8333,1274
greedy,100,5,10.8,1
random,100,3,20.3333,0
bad_greedy,100,5,10.8,0
k=1,100,5,10.8,23
k=2,100,5,10.8,1144
greedy,100,4,17.5,0
random,100,1,93,0
bad_greedy,100,1,60,0
k=1,100,4,17.5,23
k=2,100,4,17.5,1189
greedy,100,3,21.6667,1
random,100,1,89,0
bad_greedy,100,1,55,0
k=1,100,3,21.6667,23
k=2,100,3,21.6667,1159
greedy,100,5,15.4,0
random,100,1,87,0
bad_greedy,100,2,30.5,0
k=1,100,5,15.4,22
k=2,100,5,15.4,1183
greedy,100,5,10.8,0
random,100,3,23.3333,0
bad_greedy,100,5,10.8,0
k=1,100,5,10.8,23
k=2,100,5,10.8,1201
greedy,100,5,11.4,0
random,100,1,88,0
bad_greedy,100,1,53,0
k=1,100,6,12,30
k=2,100,6,12,1150
greedy,100,3,19.6667,1
random,100,1,59,0
bad_greedy,100,1,59,0
k=1,100,3,19.6667,25
k=2,100,3,19.6667,1194
greedy,100,5,15.2,1
random,100,1,75,0
bad_greedy,100,1,56,0
k=1,100,5,15.2,25
k=2,100,5,15.2,1206
greedy,100,2,27,0
random,100,2,35,0
bad_greedy,100,2,27,0
k=1,100,3,27.3333,24
k=2,100,3,27.3333,1247
greedy,100,6,11.5,1
random,100,4,22,0
bad_greedy,100,3,19,0
k=1,100,6,11.5,24
k=2,100,6,11.5,1182
greedy,100,4,15.75,1
random,100,3,20.6667,0
bad_greedy,100,2,25,0
k=1,100,4,15.75,24
k=2,100,4,15.75,1154
greedy,100,4,15,1
random,100,3,23.3333,0
bad_greedy,100,4,15,0
k=1,100,4,15,23
k=2,100,4,15,1212
greedy,100,4,13.5,1
random,100,4,13.5,0
bad_greedy,100,4,13.5,0
k=1,100,4,13.5,24
k=2,100,4,13.5,1154
greedy,100,4,17.75,0
random,100,2,40,0
bad_greedy,100,3,19,0
k=1,100,4,17.75,23
k=2,100,4,17.75,1101
