budget,bad_greedy coverage,bad_greedy cost_per_coverage,bad_greedy time,greedy coverage,greedy cost_per_coverage,greedy time,k=1 coverage,k=1 cost_per_coverage,k=1 time,k=2 coverage,k=2 cost_per_coverage,k=2 time,random coverage,random cost_per_coverage,random time
100.0,2.11,35.92350100000001,0.01,4.17,16.722334,0.33,4.3,16.927834,23.07,4.3,16.897834,1132.67,2.06,48.084497999999996,0.0
200.0,5.75,33.69935399999999,0.0,9.18,20.312282999999997,0.21,9.3,20.461678999999997,22.29,9.3,20.461678999999997,1107.57,3.37,72.97616199999999,0.0
300.0,8.51,33.430702000000004,0.0,12.79,22.128242,0.31,13.03,22.256744000000005,22.3,13.03,22.213438,1119.12,4.2,86.622089,0.0
400.0,10.56,36.718811,0.0,15.5,24.633554,0.22,15.71,24.583061999999998,22.01,15.74,24.597986000000006,1100.63,5.14,87.61176500000002,0.0
500.0,12.53,38.47720500000001,0.01,18.24,26.45787,0.18,18.42,26.363403999999992,21.56,18.44,26.351909999999997,1088.68,6.23,89.8188,0.0
600.0,14.68,39.385387999999985,0.01,21.08,27.786557,0.18,21.19,27.558615000000003,21.49,21.23,27.56982,1082.26,7.88,86.92327899999998,0.0
700.0,16.6,40.85464199999998,0.01,23.63,28.824048000000012,0.07,23.88,28.741540000000004,21.15,23.94,28.733303000000006,1060.82,8.92,84.30601200000001,0.0
800.0,18.45,42.347804,0.0,25.74,30.520729000000014,0.1,25.88,30.435351000000004,20.73,25.9,30.42019100000001,1048.68,9.3,95.86251800000002,0.0
900.0,19.75,44.35742200000001,0.02,28.31,31.305832999999996,0.06,28.46,31.217480000000002,20.73,28.47,31.18806,1040.57,10.2,93.480557,0.0
1000.0,21.34,45.546236,0.0,29.66,33.02123999999999,0.03,29.79,32.82470499999999,20.62,29.79,32.795034999999984,1035.58,11.6,91.12909400000002,0.0
1100.0,22.4,47.89736399999999,0.0,31.37,34.50939500000001,0.04,31.62,34.314284000000015,20.33,31.63,34.26449400000001,1027.87,12.57,93.178335,0.0
1200.0,23.68,49.641426999999986,0.01,33.75,34.976226000000004,0.03,33.95,34.806437,20.23,33.96,34.752433,1017.03,13.73,92.371072,0.0
1300.0,24.65,51.791988999999994,0.0,34.76,36.74049300000001,0.02,34.99,36.600572,19.99,35.01,36.568155999999995,1009.32,14.62,91.949967,0.0
1400.0,25.85,53.08239900000003,0.0,36.49,37.82531099999999,0.05,36.67,37.62182300000001,19.93,36.7,37.60929900000002,1001.59,15.85,90.855232,0.0
1500.0,27.0,54.329172000000014,0.0,38.8,38.080236000000006,0.08,39.06,37.858884999999994,19.74,39.08,37.824719,989.58,16.71,92.90436799999999,0.0
1600.0,28.2,55.513163999999996,0.0,39.72,39.683041999999986,0.04,39.9,39.531783,19.87,39.9,39.47055699999999,988.96,17.21,97.24285799999998,0.0
1700.0,29.44,56.48824799999999,0.0,41.63,40.21694099999999,0.05,41.86,39.99608699999999,19.66,41.89,39.94752199999999,979.56,18.04,98.045558,0.0
1800.0,30.56,57.635571000000006,0.0,43.07,41.109969,0.03,43.28,40.918956,19.52,43.33,40.922442,976.07,19.87,93.80992100000009,0.0
1900.0,32.01,58.24666300000003,0.0,44.88,41.770213000000005,0.05,45.13,41.601760999999996,19.35,45.18,41.55644899999999,965.02,20.76,94.81243700000003,0.0
2000.0,33.55,58.581013999999996,0.0,46.01,42.825683000000005,0.01,46.22,42.62262600000002,19.12,46.28,42.586856000000026,958.53,20.9,98.85264000000005,0.0
