algorithm,budget,coverage,cost_per_coverage,time
greedy,100,13,7,1
random,100,2,48,0
bad_greedy,100,12,6.91667,0
k=1,100,13,7,27
k=2,100,13,7,1147
greedy,100,13,7,1
random,100,2,48,0
bad_greedy,100,12,6.91667,0
k=1,100,13,7,38
k=2,100,13,7,1157
greedy,100,14,6.57143,1
random,100,9,10.5556,0
bad_greedy,100,14,5.85714,0
k=1,100,15,6.06667,23
k=2,100,15,6.06667,1150
greedy,100,15,6.06667,1
random,100,9,11.1111,0
bad_greedy,100,13,6,0
k=1,100,15,5.93333,24
k=2,100,15,5.93333,1269
greedy,100,12,8,2
random,100,3,31,0
bad_greedy,100,10,9.1,0
k=1,100,12,8,25
k=2,100,12,8,1406
greedy,100,9,9,1
random,100,4,24.25,0
bad_greedy,100,9,9,0
k=1,100,12,7.83333,27
k=2,100,12,7.41667,1239
greedy,100,13,7.30769,0
random,100,1,91,0
bad_greedy,100,11,8.27273,0
k=1,100,13,7.30769,25
k=2,100,13,7.30769,1155
greedy,100,11,7.45455,0
random,100,3,32.6667,0
bad_greedy,100,9,8.44444,0
k=1,100,12,7.83333,28
k=2,100,12,7.83333,1185
greedy,100,12,7.58333,1
random,100,5,19.4,0
bad_greedy,100,10,7.8,0
k=1,100,14,6.21429,23
k=2,100,14,6.21429,1166
greedy,100,14,6.35714,1
random,100,4,25,0
bad_greedy,100,11,8.09091,0
k=1,100,14,6.35714,32
k=2,100,14,6.35714,1174
greedy,100,12,8.25,0
random,100,2,49.5,0
bad_greedy,100,8,10.5,0
k=1,100,12,8.25,24
k=2,100,12,8.25,1165
greedy,100,14,6.85714,1
random,100,1,89,0
bad_greedy,100,15,6.46667,1
k=1,100,17,5.41176,25
k=2,100,19,5.10526,1150
greedy,100,10,9.2,1
random,100,4,24,0
bad_greedy,100,9,10.3333,0
k=1,100,10,8.6,23
k=2,100,10,8.6,1226
greedy,100,16,6.25,1
random,100,2,49.5,0
bad_greedy,100,14,6.57143,0
k=1,100,16,6.25,24
k=2,100,16,6.25,1186
greedy,100,12,7.16667,1
random,100,6,16.5,0
bad_greedy,100,10,8.5,0
k=1,100,12,7.16667,24
k=2,100,12,7.16667,1231
greedy,100,12,7.33333,1
random,100,3,32.6667,0
bad_greedy,100,9,9.88889,0
k=1,100,12,7.33333,24
k=2,100,12,7.33333,1170
greedy,100,13,7.53846,1
random,100,6,15.6667,0
bad_greedy,100,10,8.2,0
k=1,100,13,7.30769,24
k=2,100,13,7.30769,1166
greedy,100,10,9.8,1
random,100,5,17.8,0
bad_greedy,100,9,10,0
k=1,100,10,9.7,23
k=2,100,10,9.6,1198
greedy,100,11,8.27273,1
random,100,2,45,0
bad_greedy,100,8,10,0
k=1,100,11,8.27273,29
k=2,100,11,8.27273,1211
greedy,100,7,10.7143,1
random,100,3,28.3333,0
bad_greedy,100,5,19.6,1
k=1,100,8,11.375,29
k=2,100,8,11.375,1131
greedy,100,14,6.71429,0
random,100,7,14,0
bad_greedy,100,11,7.18182,0
k=1,100,14,6.14286,22
k=2,100,14,6.14286,1124
greedy,100,11,9,1
random,100,6,14.6667,0
bad_greedy,100,14,5.71429,0
k=1,100,14,6.64286,23
k=2,100,16,5.625,1173
greedy,100,12,7.41667,0
random,100,2,46,0
bad_greedy,100,9,10.6667,0
k=1,100,12,7.41667,22
k=2,100,12,7.41667,1127
greedy,100,13,7.69231,1
random,100,2,46,0
bad_greedy,100,10,9.6,0
k=1,100,13,7.69231,22
k=2,100,13,7.69231,1129
greedy,100,10,9.1,1
random,100,2,45,0
bad_greedy,100,9,10,0
k=1,100,10,9.1,24
k=2,100,10,9.1,1165
greedy,100,14,6.57143,1
random,100,3,32.6667,0
bad_greedy,100,11,7.27273,1
k=1,100,14,6.57143,23
k=2,100,14,6.57143,1106
greedy,100,12,7.66667,1
random,100,5,17.8,0
bad_greedy,100,12,7.25,0
k=1,100,14,7.14286,23
k=2,100,14,7.14286,1161
greedy,100,10,9.3,1
random,100,5,20,0
bad_greedy,100,10,8.2,0
k=1,100,11,8.36364,23
k=2,100,12,7.58333,1134
greedy,100,14,6.64286,1
random,100,3,31.3333,0
bad_greedy,100,13,7.07692,0
k=1,100,14,6.64286,26
k=2,100,14,6.64286,1219
greedy,100,9,9.66667,1
random,100,2,49,0
bad_greedy,100,14,6.14286,0
k=1,100,13,7.15385,23
k=2,100,16,6.25,1153
greedy,100,10,8,1
random,100,2,48,0
bad_greedy,100,7,12.1429,0
k=1,100,11,8.54545,23
k=2,100,11,8.54545,1160
greedy,100,10,10,1
random,100,4,24.75,0
bad_greedy,100,9,8.77778,0
k=1,100,11,9,23
k=2,100,11,9,1128
greedy,100,15,6.33333,0
random,100,5,19.6,0
bad_greedy,100,10,8,0
k=1,100,16,5.875,22
k=2,100,16,5.875,1105
greedy,100,12,7.83333,1
random,100,4,23,0
bad_greedy,100,9,10.3333,0
k=1,100,13,7.69231,22
k=2,100,13,7.69231,1099
greedy,100,13,7.30769,0
random,100,6,15.8333,0
bad_greedy,100,12,6.83333,0
k=1,100,13,7.30769,22
k=2,100,13,7.30769,1095
greedy,100,10,9.2,0
random,100,7,11.4286,0
bad_greedy,100,12,6.08333,0
k=1,100,13,7.38462,22
k=2,100,15,6.53333,1106
greedy,100,13,6.76923,0
random,100,7,13.7143,0
bad_greedy,100,11,7.90909,0
k=1,100,13,6.76923,22
k=2,100,13,6.76923,1126
greedy,100,13,6.84615,0
random,100,6,16.6667,0
bad_greedy,100,12,6.66667,0
k=1,100,13,6.84615,22
k=2,100,13,6.84615,1113
greedy,100,16,6.1875,1
random,100,9,10.7778,0
bad_greedy,100,14,7.07143,0
k=1,100,16,6.1875,22
k=2,100,16,6.1875,1116
greedy,100,11,9.09091,0
random,100,6,13.3333,0
bad_greedy,100,11,8.81818,0
k=1,100,13,6.15385,22
k=2,100,14,7.07143,1107
greedy,100,12,8.25,0
random,100,6,15.8333,0
bad_greedy,100,9,10.3333,0
k=1,100,12,8.25,22
k=2,100,12,8.25,1118
greedy,100,17,5.11765,0
random,100,6,15.5,0
bad_greedy,100,21,4.28571,0
k=1,100,21,4.7619,21
k=2,100,22,4.27273,1073
greedy,100,11,8.63636,0
random,100,5,18,0
bad_greedy,100,10,8.6,0
k=1,100,11,8.63636,22
k=2,100,11,8.63636,1108
greedy,100,15,6.13333,0
random,100,4,24.75,0
bad_greedy,100,9,9.22222,0
k=1,100,15,5.86667,21
k=2,100,15,5.86667,1099
greedy,100,7,11.7143,0
random,100,5,16.6,0
bad_greedy,100,9,10.8889,0
k=1,100,10,9.6,22
k=2,100,10,9.6,1120
greedy,100,10,10,0
random,100,2,49.5,0
bad_greedy,100,7,11.5714,0
k=1,100,10,10,22
k=2,100,10,10,1103
greedy,100,12,7.41667,0
random,100,5,19.6,0
bad_greedy,100,11,7.45455,0
k=1,100,12,7.41667,21
k=2,100,12,7.41667,1084
greedy,100,11,8.27273,0
random,100,4,23.5,0
bad_greedy,100,10,9.1,0
k=1,100,14,6.57143,22
k=2,100,14,6.57143,1107
greedy,100,10,9.6,0
random,100,7,12.1429,0
bad_greedy,100,10,8.4,0
k=1,100,11,7.81818,22
k=2,100,11,7.81818,1101
greedy,100,14,7,0
random,100,5,17.6,0
bad_greedy,100,14,6.92857,0
k=1,100,16,6.0625,22
k=2,100,16,6.0625,1102
greedy,100,11,8.72727,0
random,100,3,28.3333,0
bad_greedy,100,7,11,0
k=1,100,11,8.72727,22
k=2,100,11,8.72727,1109
greedy,100,12,8,0
random,100,6,16.5,0
bad_greedy,100,12,8,0
k=1,100,12,8,22
k=2,100,12,8,1107
greedy,100,16,6.25,1
random,100,8,12,0
bad_greedy,100,15,6.66667,0
k=1,100,19,5.21053,21
k=2,100,19,5.21053,1090
greedy,100,10,9.4,0
random,100,3,31,0
bad_greedy,100,9,10.8889,0
k=1,100,10,9.4,21
k=2,100,10,9.4,1109
greedy,100,7,14,0
random,100,1,76,0
bad_greedy,100,5,15.4,0
k=1,100,7,14,22
k=2,100,7,14,1111
greedy,100,18,5.38889,0
random,100,12,8,0
bad_greedy,100,20,4.65,0
k=1,100,21,4.7619,21
k=2,100,21,4.7619,1097
greedy,100,13,7.23077,0
random,100,7,13.7143,0
bad_greedy,100,13,6.61538,1
k=1,100,15,6.4,20
k=2,100,15,6.26667,1087
greedy,100,10,9.3,0
random,100,4,24.5,0
bad_greedy,100,10,8.9,0
k=1,100,11,8.09091,21
k=2,100,11,8.09091,1110
greedy,100,9,10.3333,1
random,100,5,19.8,0
bad_greedy,100,8,10.875,0
k=1,100,11,8.54545,22
k=2,100,11,8.54545,1104
greedy,100,15,5.86667,0
random,100,3,33.3333,0
bad_greedy,100,13,7.53846,0
k=1,100,15,5.86667,22
k=2,100,15,5.86667,1105
greedy,100,10,9.1,1
random,100,1,94,0
bad_greedy,100,7,10.8571,0
k=1,100,10,9.1,21
k=2,100,10,9.1,1109
greedy,100,14,6.64286,0
random,100,5,19.4,0
bad_greedy,100,13,6.07692,0
k=1,100,16,5.6875,21
k=2,100,16,5.6875,1095
greedy,100,13,6.69231,0
random,100,4,21.75,0
bad_greedy,100,10,8.1,0
k=1,100,14,7.14286,22
k=2,100,14,7.14286,1112
greedy,100,12,8.16667,0
random,100,4,23,0
bad_greedy,100,12,8.16667,0
k=1,100,12,8,22
k=2,100,12,8,1107
greedy,100,13,6.84615,0
random,100,1,89,0
bad_greedy,100,11,8.63636,0
k=1,100,13,6.84615,22
k=2,100,13,6.84615,1113
greedy,100,12,8.16667,0
random,100,8,11.875,0
bad_greedy,100,12,8.16667,0
k=1,100,12,7.91667,22
k=2,100,12,7.91667,1109
greedy,100,16,6.25,0
random,100,3,27.3333,0
bad_greedy,100,14,5.92857,0
k=1,100,16,6.25,22
k=2,100,16,6.25,1109
greedy,100,9,11.1111,0
random,100,3,32,0
bad_greedy,100,5,17.8,0
k=1,100,9,11.1111,24
k=2,100,9,11.1111,1121
greedy,100,18,5.55556,0
random,100,10,9.6,0
bad_greedy,100,21,4.42857,0
k=1,100,21,4.57143,21
k=2,100,24,4.04167,1075
greedy,100,13,7.61538,0
random,100,6,16.1667,0
bad_greedy,100,11,8.63636,0
k=1,100,13,7.23077,22
k=2,100,13,7.23077,1115
greedy,100,9,10,1
random,100,1,97,0
bad_greedy,100,6,14.6667,0
k=1,100,9,10,23
k=2,100,9,10,1128
greedy,100,14,6.21429,1
random,100,7,12.4286,0
bad_greedy,100,11,7.90909,0
k=1,100,14,6.21429,23
k=2,100,14,6.21429,1114
greedy,100,9,10.5556,1
random,100,3,29.6667,0
bad_greedy,100,7,12.2857,0
k=1,100,10,9.4,23
k=2,100,10,9.4,1113
greedy,100,11,8.54545,0
random,100,4,22,0
bad_greedy,100,11,7.45455,0
k=1,100,13,7.15385,24
k=2,100,13,7.15385,1110
greedy,100,10,7.9,0
random,100,5,19.2,0
bad_greedy,100,10,8.1,0
k=1,100,14,6.57143,23
k=2,100,14,6.57143,1118
greedy,100,11,8.54545,0
random,100,4,22.75,0
bad_greedy,100,13,7.53846,0
k=1,100,14,6.57143,22
k=2,100,15,6,1109
greedy,100,13,7.53846,0
random,100,9,10.6667,0
bad_greedy,100,12,6.25,0
k=1,100,14,6.71429,24
k=2,100,14,6.71429,1110
greedy,100,8,11.375,1
random,100,2,45.5,0
bad_greedy,100,6,15.5,0
k=1,100,8,11.375,25
k=2,100,8,11.375,1130
greedy,100,9,10.2222,1
random,100,4,24.25,0
bad_greedy,100,11,7.90909,0
k=1,100,13,7.61538,23
k=2,100,13,7.61538,1104
greedy,100,9,10.8889,0
random,100,4,24.5,0
bad_greedy,100,7,12,0
k=1,100,10,9.7,22
k=2,100,10,9.6,1109
greedy,100,15,6.6,0
random,100,4,24.5,0
bad_greedy,100,14,6.64286,0
k=1,100,15,6.6,22
k=2,100,15,6.4,1101
greedy,100,12,8.33333,0
random,100,5,19,0
bad_greedy,100,10,8.6,0
k=1,100,12,8.33333,23
k=2,100,12,8.33333,1117
greedy,100,13,7.07692,0
random,100,4,24.5,0
bad_greedy,100,8,10.25,0
k=1,100,13,6.92308,23
